hour_of_day,is_new_ip,is_new_device,recent_failures_15min,history_size,synthetic_label,anomaly_type,predicted_anomaly,decision_score
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,1,unusual_client,0,0.019346525486350297
10,0,0,0,1,0,normal,0,0.16925347281411446
10,1,1,0,0,0,normal,0,0.019346525486350297
10,0,0,0,1,0,normal,0,0.16925347281411446
10,0,0,0,1,0,normal,0,0.16925347281411446
11,1,1,0,0,0,normal,0,0.019534041086094356
11,0,0,0,1,0,normal,0,0.1695316716366404
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,0,1,unusual_client,0,0.019534041086094356
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
13,0,0,0,2,0,normal,0,0.20030900689134895
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,0,normal,0,0.009653379572706067
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,0,0,0,1,0,normal,0,0.16123043621391625
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,0,1,0,1,0,normal,1,-0.03435146843592274
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,0,0,0,1,0,normal,0,0.11883478916059487
18,1,1,0,0,0,normal,1,-0.03739973658802964
19,0,0,0,1,0,normal,0,0.06435731120414212
19,1,1,0,0,0,normal,1,-0.05404107928600699
2,1,1,0,0,1,multiple_changes,1,-0.05869594945208956
5,0,0,0,1,1,unusual_hour,0,0.041373682120054545
4,1,1,0,1,1,multiple_changes,1,-0.05014897499581006
7,1,1,0,0,0,normal,1,-0.0158347872624246
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,0,0,0,1,0,normal,0,0.13997757773447683
8,0,0,0,2,0,normal,0,0.15989443133142578
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
10,0,0,0,1,0,normal,0,0.16925347281411446
10,0,0,0,2,0,normal,0,0.18988611060852917
10,0,0,0,1,0,normal,0,0.16925347281411446
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,0,0,normal,0,0.019534041086094356
11,0,0,0,1,0,normal,0,0.1695316716366404
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
13,0,0,0,2,0,normal,0,0.20030900689134895
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
14,0,0,0,2,0,normal,0,0.20300888146728724
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,1,new_ip,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,2,0,normal,0,0.19439161375140585
15,1,1,0,0,0,normal,0,0.009653379572706067
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,2,0,normal,0,0.18697593940909185
16,1,1,0,0,1,new_ip,0,0.0
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,2,0,normal,0,0.13771548726426597
19,1,1,0,0,0,normal,1,-0.05404107928600699
19,1,1,0,0,0,normal,1,-0.05404107928600699
19,0,0,0,2,0,normal,0,0.08155910331518978
1,1,1,0,0,1,unusual_hour,1,-0.06708342389109656
3,1,1,0,0,1,unusual_hour,1,-0.053757346885330626
7,0,0,0,1,0,normal,0,0.10052547460321082
7,0,0,0,2,0,normal,0,0.11705044841111811
7,1,1,0,0,0,normal,1,-0.0158347872624246
7,0,0,0,1,0,normal,0,0.10052547460321082
8,0,0,0,1,0,normal,0,0.13997757773447683
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
9,0,0,0,2,0,normal,0,0.1870195391917006
9,0,0,0,2,0,normal,0,0.1870195391917006
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,1,0,normal,0,0.16540224934049547
9,1,1,0,0,0,normal,0,0.012586780442438661
10,0,0,0,1,0,normal,0,0.16925347281411446
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,1,0,normal,0,0.002690961603523334
11,0,0,0,1,0,normal,0,0.1695316716366404
11,1,1,0,0,0,normal,0,0.019534041086094356
11,0,0,0,1,0,normal,0,0.1695316716366404
11,0,0,0,2,0,normal,0,0.1935760287488032
12,0,0,0,1,0,normal,0,0.1740617782496971
12,0,0,0,3,0,normal,0,0.20747141718991258
12,1,1,0,0,0,normal,0,0.020298588816240137
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,1,0,normal,0,0.17913833053667205
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,1,0,normal,0,0.17913833053667205
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,0,0,0,2,0,normal,0,0.20300888146728724
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,2,0,normal,0,0.19439161375140585
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,0,normal,0,0.009653379572706067
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
18,0,0,0,2,0,normal,0,0.13771548726426597
18,0,0,0,2,0,normal,0,0.13771548726426597
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,2,0,normal,0,0.13771548726426597
18,0,0,0,1,0,normal,0,0.11883478916059487
18,1,0,0,3,1,new_ip,1,-0.029718707069882
19,0,0,0,2,0,normal,0,0.08155910331518978
19,1,1,0,0,0,normal,1,-0.05404107928600699
19,0,0,0,3,0,normal,0,0.08588851786921015
7,1,1,0,0,0,normal,1,-0.0158347872624246
7,1,1,0,0,0,normal,1,-0.0158347872624246
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,0,0,0,2,0,normal,0,0.15989443133142578
8,0,0,0,2,0,normal,0,0.15989443133142578
9,0,0,0,1,0,normal,0,0.16540224934049547
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
10,0,1,0,1,0,normal,1,-0.02442471725606421
10,1,1,0,0,0,normal,0,0.019346525486350297
10,0,0,0,3,0,normal,0,0.20164758425364515
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
11,0,0,0,2,0,normal,0,0.1935760287488032
12,0,0,0,1,0,normal,0,0.1740617782496971
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,1,0,normal,0,0.1740617782496971
12,0,0,0,2,0,normal,0,0.1965368657706132
12,1,1,0,0,0,normal,0,0.020298588816240137
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
14,0,0,0,1,0,normal,0,0.18768305165091131
14,0,0,0,1,0,normal,0,0.18768305165091131
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,2,0,normal,0,0.19439161375140585
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,3,0,normal,0,0.19216541538198623
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,1,0,normal,0,0.17235508142547862
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,1,0,0,1,0,normal,1,-0.023726674086180344
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,1,0,normal,0,0.16123043621391625
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,1,0,normal,0,0.11883478916059487
19,0,0,0,2,0,normal,0,0.08155910331518978
19,1,1,0,0,1,new_ip,1,-0.05404107928600699
19,0,0,0,1,0,normal,0,0.06435731120414212
0,1,1,0,0,1,unusual_hour,1,-0.07428526647188194
2,1,1,0,3,1,multiple_changes,1,-0.07310832489818375
3,1,1,0,1,1,multiple_changes,1,-0.06228744970401878
7,0,0,0,1,0,normal,0,0.10052547460321082
7,1,0,0,1,0,normal,1,-0.04986336800606195
7,0,0,0,2,0,normal,0,0.11705044841111811
8,1,1,0,0,1,new_ip,1,-0.004148082688804289
8,0,0,0,2,0,normal,0,0.15989443133142578
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,0,0,0,1,0,normal,0,0.13997757773447683
8,0,0,0,2,0,normal,0,0.15989443133142578
8,0,0,0,1,0,normal,0,0.13997757773447683
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,3,0,normal,0,0.19905599745463592
9,0,0,0,2,0,normal,0,0.1870195391917006
9,1,1,0,0,0,normal,0,0.012586780442438661
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,0,0,0,3,0,normal,0,0.20164758425364515
10,0,0,0,1,0,normal,0,0.16925347281411446
10,0,0,0,2,0,normal,0,0.18988611060852917
11,1,1,0,0,0,normal,0,0.019534041086094356
11,1,1,0,0,0,normal,0,0.019534041086094356
11,0,0,0,1,0,normal,0,0.1695316716366404
11,1,1,0,0,0,normal,0,0.019534041086094356
12,0,0,0,1,0,normal,0,0.1740617782496971
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,2,0,normal,0,0.1965368657706132
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
14,0,0,0,1,0,normal,0,0.18768305165091131
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
14,0,0,0,1,0,normal,0,0.18768305165091131
15,0,0,0,4,0,normal,0,0.21010809285415982
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,1,0,normal,0,0.1794316497402043
16,0,0,0,2,0,normal,0,0.18697593940909185
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,4,0,normal,0,0.20109161409832682
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,1,0,normal,0,0.17235508142547862
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,2,0,normal,0,0.17474496670618644
17,1,1,0,0,0,normal,1,-0.02105714587211105
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,2,0,normal,0,0.13771548726426597
19,0,0,0,2,0,normal,0,0.08155910331518978
7,0,0,0,1,0,normal,0,0.10052547460321082
8,0,0,0,2,0,normal,0,0.15989443133142578
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,2,0,normal,0,0.1870195391917006
9,0,0,0,1,0,normal,0,0.16540224934049547
10,0,0,0,1,0,normal,0,0.16925347281411446
10,0,0,0,1,0,normal,0,0.16925347281411446
10,0,0,0,3,0,normal,0,0.20164758425364515
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
11,0,0,0,1,0,normal,0,0.1695316716366404
11,0,0,0,2,0,normal,0,0.1935760287488032
11,1,1,0,0,0,normal,0,0.019534041086094356
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,4,0,normal,0,0.21510309200826955
13,0,0,0,5,0,normal,0,0.22040429171959836
13,0,0,0,1,0,normal,0,0.17913833053667205
13,0,0,0,1,0,normal,0,0.17913833053667205
13,0,0,0,2,0,normal,0,0.20030900689134895
14,0,0,0,3,0,normal,0,0.20916273920576306
14,0,0,0,2,0,normal,0,0.20300888146728724
15,0,0,0,1,0,normal,0,0.1794316497402043
15,1,1,0,0,0,normal,0,0.009653379572706067
15,1,1,0,0,0,normal,0,0.009653379572706067
15,0,0,0,2,0,normal,0,0.19439161375140585
15,0,0,0,1,0,normal,0,0.1794316497402043
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,1,0,normal,0,0.17235508142547862
16,0,0,0,2,0,normal,0,0.18697593940909185
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,3,0,normal,0,0.17916412207158022
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,3,0,normal,0,0.17916412207158022
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,1,0,normal,0,0.11883478916059487
19,1,1,0,0,0,normal,1,-0.05404107928600699
0,1,1,0,0,1,unusual_hour,1,-0.07428526647188194
2,1,1,0,0,1,multiple_changes,1,-0.05869594945208956
4,0,0,0,2,1,unusual_hour,0,0.035590760414370703
7,0,0,0,1,0,normal,0,0.10052547460321082
7,0,0,0,3,0,normal,0,0.1270265568578346
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,1,1,0,0,0,normal,1,-0.004148082688804289
8,0,0,0,2,0,normal,0,0.15989443133142578
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,3,0,normal,0,0.19905599745463592
9,0,0,0,3,0,normal,0,0.19905599745463592
9,1,1,0,0,0,normal,0,0.012586780442438661
9,0,0,0,1,0,normal,0,0.16540224934049547
10,0,0,0,1,0,normal,0,0.16925347281411446
11,0,0,0,2,0,normal,0,0.1935760287488032
11,0,0,0,2,0,normal,0,0.1935760287488032
11,0,0,0,1,0,normal,0,0.1695316716366404
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,3,0,normal,0,0.20747141718991258
12,1,0,0,1,0,normal,1,-0.0170089413853185
12,0,0,0,2,0,normal,0,0.1965368657706132
12,0,0,0,2,0,normal,0,0.1965368657706132
12,0,0,0,2,0,normal,0,0.1965368657706132
13,0,0,0,2,0,normal,0,0.20030900689134895
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,2,0,normal,0,0.20030900689134895
13,0,0,0,3,0,normal,0,0.2098128845988088
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,1,0,1,1,unusual_client,1,-0.021895801272535098
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,2,0,normal,0,0.20300888146728724
14,1,1,0,0,0,normal,0,0.01529337306769285
14,0,0,0,1,0,normal,0,0.18768305165091131
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,2,0,normal,0,0.19439161375140585
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,2,0,normal,0,0.19439161375140585
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,3,0,normal,0,0.2017723325481185
15,0,0,0,4,0,normal,0,0.21010809285415982
16,0,0,0,4,0,normal,0,0.20109161409832682
16,0,0,0,3,0,normal,0,0.19216541538198623
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,1,0,normal,0,0.17235508142547862
17,0,0,0,1,0,normal,0,0.16123043621391625
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,1,1,0,0,0,normal,1,-0.02105714587211105
18,0,0,0,3,0,normal,0,0.1450692195612988
18,0,0,0,2,0,normal,0,0.13771548726426597
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,2,0,normal,0,0.13771548726426597
2,1,0,0,2,1,multiple_changes,1,-0.09444022357095827
5,0,0,0,1,1,unusual_hour,0,0.041373682120054545
7,1,1,0,0,0,normal,1,-0.0158347872624246
7,0,0,0,1,0,normal,0,0.10052547460321082
7,0,0,0,2,0,normal,0,0.11705044841111811
8,0,0,0,5,0,normal,0,0.1891345310212717
8,0,0,0,1,0,normal,0,0.13997757773447683
9,0,0,0,2,0,normal,0,0.1870195391917006
9,1,0,0,2,0,normal,1,-0.026875321762038107
9,0,0,0,3,0,normal,0,0.19905599745463592
9,0,0,0,2,0,normal,0,0.1870195391917006
10,0,0,0,1,0,normal,0,0.16925347281411446
10,1,1,0,0,0,normal,0,0.019346525486350297
10,1,1,0,0,0,normal,0,0.019346525486350297
10,0,0,0,1,0,normal,0,0.16925347281411446
11,0,0,0,1,0,normal,0,0.1695316716366404
11,0,0,0,4,0,normal,0,0.21692292061030144
11,0,0,0,2,0,normal,0,0.1935760287488032
11,1,1,0,0,0,normal,0,0.019534041086094356
11,0,0,0,1,0,normal,0,0.1695316716366404
11,0,0,0,3,0,normal,0,0.20645056864497113
12,0,0,0,2,0,normal,0,0.1965368657706132
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,3,0,normal,0,0.20747141718991258
12,0,0,0,3,0,normal,0,0.20747141718991258
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,4,0,normal,0,0.21510309200826955
12,0,0,0,3,0,normal,0,0.20747141718991258
12,0,0,0,1,0,normal,0,0.1740617782496971
12,1,1,0,0,0,normal,0,0.020298588816240137
12,1,1,0,0,0,normal,0,0.020298588816240137
12,0,0,0,3,0,normal,0,0.20747141718991258
12,0,0,0,2,0,normal,0,0.1965368657706132
13,0,0,0,3,0,normal,0,0.2098128845988088
13,0,0,0,2,0,normal,0,0.20030900689134895
13,1,1,0,0,0,normal,0,0.015614896191739724
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,1,0,normal,0,0.17913833053667205
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,2,0,normal,0,0.20030900689134895
13,1,1,0,0,0,normal,0,0.015614896191739724
13,0,0,0,1,0,normal,0,0.17913833053667205
14,0,0,0,3,0,normal,0,0.20916273920576306
14,0,0,0,2,0,normal,0,0.20300888146728724
14,1,1,0,0,0,normal,0,0.01529337306769285
15,0,0,0,1,0,normal,0,0.1794316497402043
15,0,0,0,3,0,normal,0,0.2017723325481185
15,0,0,0,3,0,normal,0,0.2017723325481185
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,2,0,normal,0,0.18697593940909185
16,0,0,0,4,0,normal,0,0.20109161409832682
16,1,1,0,0,0,normal,0,0.0
16,1,1,0,0,0,normal,0,0.0
16,0,0,0,3,0,normal,0,0.19216541538198623
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,2,0,normal,0,0.17474496670618644
17,1,1,0,0,0,normal,1,-0.02105714587211105
17,0,0,0,1,0,normal,0,0.16123043621391625
17,0,0,0,3,0,normal,0,0.17916412207158022
17,0,0,0,1,0,normal,0,0.16123043621391625
18,1,1,0,0,0,normal,1,-0.03739973658802964
18,0,0,0,3,0,normal,0,0.1450692195612988
18,0,0,0,1,0,normal,0,0.11883478916059487
18,0,0,0,2,0,normal,0,0.13771548726426597
19,0,0,0,3,0,normal,0,0.08588851786921015
4,1,1,0,4,1,multiple_changes,1,-0.06275643842673229
7,0,0,0,3,0,normal,0,0.1270265568578346
8,0,0,0,2,0,normal,0,0.15989443133142578
8,0,0,0,1,0,normal,0,0.13997757773447683
8,0,0,0,2,0,normal,0,0.15989443133142578
8,1,1,0,0,0,normal,1,-0.004148082688804289
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,2,0,normal,0,0.1870195391917006
9,0,0,0,3,0,normal,0,0.19905599745463592
9,0,0,0,3,0,normal,0,0.19905599745463592
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,1,0,normal,0,0.16540224934049547
9,0,0,0,3,0,normal,0,0.19905599745463592
10,0,0,0,2,0,normal,0,0.18988611060852917
10,0,0,0,2,0,normal,0,0.18988611060852917
